#;NOMBRE;SEGUIDORES;TP;PAÍS;TEMA DE INFLUENCIA;ALCANCE POTENCIAL;GUARDAR;INVITAR A LA CAMPAÑA;channel_name;total_subscribers;total_views;total_videos
35;Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng;9.3M;-;संयुक्त अधिराज्य;यात्रा;2.8M;;प्रोफ़ाइल देखें;Jungle Beat;11700000;5882108639;843
36;The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA;9.1M;0.1%;संयुक्त अधिराज्य;;2.7M;;प्रोफ़ाइल देखें;The X Factor UK;9180000;7009317262;5503
37;English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA;9M;-;संयुक्त अधिराज्य;;2.7M;;प्रोफ़ाइल देखें;English with Lucy;11100000;509523493;391
38;Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg;8.9M;-;संयुक्त अधिराज्य;;2.7M;;प्रोफ़ाइल देखें;Shaun the Sheep Official;12100000;6460699779;896
39;Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw;8.7M;-;संयुक्त अधिराज्य;;2.6M;;प्रोफ़ाइल देखें;Cartoons for Kids;9020000;3418515574;2538
40;Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg;8.5M;1.7%;संयुक्त अधिराज्य;भिडियो गेमिङ;2.6M;;प्रोफ़ाइल देखें;Mumbo Jumbo;9380000;3076497626;2082
41;Top Gear @UCjOl2AUblVmg2rA_cRgZkFg;8.4M;-;संयुक्त अधिराज्य;;2.5M;;प्रोफ़ाइल देखें;Top Gear;8980000;4006589134;1899
42;Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw;8.3M;-;संयुक्त अधिराज्य;;2.5M;;प्रोफ़ाइल देखें;Moonbug Kids - Kids Learning Videos;11300000;8598140600;1604
43;BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw;8.1M;-;संयुक्त अधिराज्य;;2.4M;;प्रोफ़ाइल देखें;BBC Radio 1;8260000;3745605699;4918
44;Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ;7.8M;1.8%;संयुक्त अधिराज्य;;2.3M;;प्रोफ़ाइल देखें;Grian;8540000;2469330357;758
45;Daz Games @UCDBCCMlFD-hArPbWv38FINA;7.6M;0.3%;संयुक्त अधिराज्य;;2.3M;;प्रोफ़ाइल देखें;Daz Games;8630000;2734886053;1581
46;Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A;7.6M;-;संयुक्त अधिराज्य;;2.3M;;प्रोफ़ाइल देखें;Vikkstar123;7600000;2162384761;5048
47;PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ;7.6M;-;संयुक्त अधिराज्य;;2.3M;;प्रोफ़ाइल देखें;PlayToys;7810000;3059446696;974
48;carwow @UCUhFaUpnq31m6TNX2VKVSVA;7.5M;0.2%;संयुक्त अधिराज्य;;2.2M;;प्रोफ़ाइल देखें;carwow;9330000;3969335580;2716
49;Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A;7.4M;-;संयुक्त अधिराज्य;;2.2M;;प्रोफ़ाइल देखें;Jeremy Lynch;12000000;6431515532;791
50;TomSka @UCOYWgypDktXdb-HfZnSMK6A;7.2M;2.2%;संयुक्त अधिराज्य;;2.2M;;प्रोफ़ाइल देखें;TomSka;7290000;2084214415;178
51;YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ;7.1M;-;संयुक्त अधिराज्य;समाचारहरू;2.1M;;प्रोफ़ाइल देखें;The Yogscast;7070000;4579694775;6552
52;LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg;7M;-;संयुक्त अधिराज्य;भिडियो गेमिङ;2.1M;;प्रोफ़ाइल देखें;LDShadowLady;7190000;3450440860;1079
53;The Beatles @UCc4K7bAqpdBP8jh1j9XZAww;6.9M;0.1%;संयुक्त अधिराज्य;;2.1M;;प्रोफ़ाइल देखें;The Beatles;8340000;7023952511;318
54;Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g;6.9M;-;संयुक्त अधिराज्य;;2.1M;;प्रोफ़ाइल देखें;Passenger;7420000;4567686772;390
55;MessYourself @UCrSgaO6xOY8YV1EoCbD51HA;6.9M;-;संयुक्त अधिराज्य;;2.1M;;प्रोफ़ाइल देखें;MessYourself;6870000;2572075782;1068
56;MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA;6.8M;0.6%;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;MoreSidemen;8570000;4423128272;1039
57;Boomerang UK @UCmst562fALOY2cKb4IFgqEg;6.8M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;Boomerang UK;7410000;3673417092;2389
58;James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q;6.8M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;James Arthur;7420000;4499810906;208
59;ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw;6.7M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;ARPO The Robot;7700000;3267370395;1384
60;24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg;6.7M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;24 News HD;7920000;3503504006;169862
61;RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw;6.6M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;RubyandBonnie;9070000;5294649753;642
62;Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw;6.6M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;Nickelodeon UK;7040000;7475098247;3298
63;Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow;6.5M;-;संयुक्त अधिराज्य;;2M;;प्रोफ़ाइल देखें;Mark Ronson;6890000;6587403647;20
64;Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA;6.4M;-;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;Rhia Official;13000000;6063020923;935
65;UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ;6.3M;-;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;UKF Dubstep;6240000;2127588627;1745
66;TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ;6.2M;0.9%;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;TGFbro;6160000;1464816248;472
67;Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw;6.2M;2.6%;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;Wilbur Soot;5810000;796682686;139
68;Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw;6.2M;-;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;Russell Brand;6800000;1312734008;2862
69;Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q;6.2M;0.2%;संयुक्त अधिराज्य;;1.9M;;प्रोफ़ाइल देखें;Manchester United;9040000;2249470061;4147
70;Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw;6.2M;-;संयुक्त अधिराज्य;;1.8M;;प्रोफ़ाइल देखें;Pingu - Official Channel;6950000;2833124615;653
71;Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg;6.1M;-;संयुक्त अधिराज्य;;1.8M;;प्रोफ़ाइल देखें;Mrwhosetheboss Shorts;7110000;3759695835;186
72;Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA;6M;16.2%;संयुक्त अधिराज्य;;1.8M;;प्रोफ़ाइल देखें;Niko Omilana;7510000;623450441;141
73;Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw;5.9M;-;संयुक्त अधिराज्य;;1.8M;;प्रोफ़ाइल देखें;Tiana2;5870000;1644965595;429
74;Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ;5.8M;-;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;Capital FM;6160000;3583201083;2661
75;Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ;5.8M;0.3%;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;Simon's Cat;6250000;1589731792;499
76;CGP Grey @UC2C_jShtL725hvbm1arSV9w;5.8M;-;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;CGP Grey;6390000;1042478653;189
77;Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA;5.8M;-;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;Jamie Oliver;5940000;966428862;2142
78;Dumori Bay @UC-VDfQNL-S44eZscGlXI14g;5.6M;-;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;Dumori Bay;5340000;1131363;225
79;Space Videos @UCakgsb0w7QB0VHdnCc-OVEA;5.5M;-;संयुक्त अधिराज्य;;1.7M;;प्रोफ़ाइल देखें;Space Videos;5640000;114752801;143
80;Real Stories @UCu4XcDBdnZkV6-5z2f16M0g;5.5M;-;संयुक्त अधिराज्य;प्रसिद्धि;1.7M;;प्रोफ़ाइल देखें;Real Stories;6330000;1178604170;1111
81;More Emily @UCO66lK14MYiXlu0A6pQ4ouA;5.4M;-;संयुक्त अधिराज्य;;1.6M;;प्रोफ़ाइल देखें;More Emily;5280000;1480689212;634
82;GRM Daily @UCqTwKvjbTENZDGbz2si47ag;5.3M;-;संयुक्त अधिराज्य;;1.6M;;प्रोफ़ाइल देखें;GRM Daily;6350000;7582963374;14918
83;Joe Weller @UCLk9wddjT0F-HILLRFXodtg;5.3M;1.9%;संयुक्त अधिराज्य;;1.6M;;प्रोफ़ाइल देखें;Joe Weller;5300000;1017055225;322
84;WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g;5.2M;-;संयुक्त अधिराज्य;प्रसिद्धि;1.6M;;प्रोफ़ाइल देखें;WildBrain Kids;8920000;4267583710;5048
85;Sky News @UCoMdktPbSTixAyNGwb-UYkQ;5.2M;-;संयुक्त अधिराज्य;;1.5M;;प्रोफ़ाइल देखें;Sky News;7780000;4420511993;48896
86;Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w;5M;0.8%;संयुक्त अधिराज्य;;1.5M;;प्रोफ़ाइल देखें;Jarvis;5670000;1712376210;728
87;Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA;5M;-;संयुक्त अधिराज्य;;1.5M;;प्रोफ़ाइल देखें;Thoughty2;5440000;1053064595;832
88;Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw;4.9M;-;संयुक्त अधिराज्य;;1.5M;;प्रोफ़ाइल देखें;Behzinga;4960000;580638191;872
89;BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA;4.8M;-;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;BBC Learning English;6670000;347271686;3645
90;Max and Katy @UCvZwcK22QTUaM18KE7mHeNw;4.8M;-;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Max and Katy;4720000;1317145165;509
91;Man City @UCkzCjdRMrW2vXLx8mvPVLdQ;4.8M;-;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Man City;7460000;2029889396;8438
92;Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g;4.7M;1.1%;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Wisp;5220000;1091130547;527
93;WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg;4.7M;2.4%;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;WillNE;5050000;861227635;306
94;Zerkaa @UChntGq8THlUokhc1tT-M2wA;4.7M;2.3%;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Zerkaa;4700000;859549830;2023
95;Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw;4.6M;-;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Ben Phillips;4540000;1274982643;861
96;Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw;4.5M;-;संयुक्त अधिराज्य;;1.4M;;प्रोफ़ाइल देखें;Roxxsaurus;4580000;542693102;956
